approval_type,item_id,item,affected_routes,current_evidence,status,required_approver,required_evidence,decision,reviewed_at
企业事实,company-legal-name,官网运营主体全称,"/,/about,/legal,/privacy",本地资料没有可用正式主体文件,待签核,企业负责人+法务,营业执照或正式主体确认,,
企业事实,company-founded-year,成立年份与发展年限,"/,/about,/about/history",新闻稿含多个宣传口径且未有企业档案,待签核,企业负责人,企业档案或工商资料,,
企业事实,company-capacity,制造基地与产能,"/,/about",本地知识库没有核验数据,待签核,生产负责人,工厂资料与统计口径,,
企业事实,company-network,门店与服务区域,"/,/service,/partners",本地知识库没有有效网点库,待签核,渠道负责人,当前有效网点清单与责任主体,,
企业事实,company-certifications,专利认证与荣誉总数,"/,/about,/about/history",只有分散新闻线索且含软删除记录,待签核,品牌负责人,证书原件与公开授权,,
联系信息,service-phone,服务热线 400-0760-888,"/contact,/service,/privacy",现网站与历史交接记录使用该号码,待签核,客服负责人,号码归属与当前接听责任人,,
联系信息,email-export,邮箱 export@juhaolamp.com,"/contact,/service,/privacy",现网站与历史交接记录使用该邮箱,待签核,企业负责人,企业邮箱所有权与处理责任人,,
联系信息,wecom,企业微信入口,"/contact,/partners",当前未配置且页面已标记待核验,待签核,渠道负责人,企业微信账号或活码及责任人,,
联系信息,address,总部或展厅地址,"/about,/contact,/service",旧商城联系我们文章为第三方商淘地址不可用,待签核,企业负责人,正式地址与对外公开许可,,
产品,product-31,当前 31 个产品详情的型号参数与在售状态,/products/*,已通过 SQL 状态与结构化资料机器门禁,待签核,产品负责人,型号参数检测安装兼容售后确认,,
产品,product-media-31,当前 31 个产品详情的商城图片页面选用,/products/*,341 URL 当前站点媒体批次授权已登记；不替代产品事实审核,待签核,产品负责人+品牌负责人,逐产品事实与页面图片选用确认,,
项目,case-226,深圳华发冰雪世界 JW 万豪酒店阶段与媒体,/cases/jw-marriott-shenzhen-huafa-snow-world,知识库文章 226 只确认中标与方案资料；当前站点媒体批次授权已登记,待签核,工程负责人+品牌负责人,当前阶段服务范围页面选用与完工边界,,
项目,case-231,上饶广丰铂尔曼酒店阶段与媒体,/cases/pullman-shangrao-guangfeng,知识库文章 231 只确认中标与方案资料；当前站点媒体批次授权已登记,待签核,工程负责人+品牌负责人,当前阶段服务范围页面选用与完工边界,,
项目,case-228,苏州金融街君悦酒店阶段与媒体,/cases/grand-hyatt-suzhou-financial-street,知识库文章 228 含中标和方案资料；当前站点媒体批次授权已登记,待签核,工程负责人+品牌负责人,当前阶段空间范围页面选用与最终清单,,
项目,case-229,南通海门希尔顿逸林酒店阶段与媒体,/cases/doubletree-nantong-haimen,知识库文章 229 含中标和方案资料；当前站点媒体批次授权已登记,待签核,工程负责人+品牌负责人,当前阶段空间范围页面选用与最终清单,,
项目,case-220,扬州经开区一河两岸户外亮化工程,/cases/yangzhou-riverfront-lighting,知识库文章 220 只确认中标且仅 4 张正文图；当前站点媒体批次授权已登记,待签核,工程负责人+品牌负责人,当前阶段补充图片控制能耗验收与页面选用,,
项目,case-199,邢台金融中心阶段与媒体,/cases/xingtai-financial-center,知识库文章 199 标题使用助力口径且正文记录中标并含 8 个空间分节；当前站点媒体批次授权已登记,待签核,工程负责人+品牌负责人,当前阶段空间范围最终清单完工边界与页面选用,,
媒体,news-media,企业动态项目动态与荣誉图片,/news/*,125 个资讯候选 URL 已纳入当前站点媒体批次；内容事实和页面选用未通过,待签核,品牌负责人,逐文章内容事实与页面选用范围,,
服务,service-policy,质保售后响应与服务区域,/service,旧商城售后文章只有标题且不可作为政策,待签核,客服负责人+法务,当前正式服务政策,,
合作,partner-policy,经销商与工程合作政策,/partners,本地招商 105-108 为旧 WSTMart 模板不可使用,待签核,渠道负责人+法务,合作门槛支持范围双方责任与负责人,,
法律,legal-statement,法律声明,/legal,当前仅为待发布状态说明,待签核,法务,与运营主体和网站功能一致的正式文本,,
法律,privacy-policy,隐私政策,/privacy,当前草稿按真实表单数据流编写但未获批准,待签核,法务+数据负责人,字段用途保存期限删除流程与接收方确认,,
发布,lead-webhook,咨询线索内部通知,/contact,生产环境未配置企业 Webhook 和失败重试,待签核,客服负责人+IT,真实接收端验收重试告警和责任人,,
发布,public-access,网站公开访问,全站,当前 Sites 仅项目所有者可访问,待签核,企业负责人+IT,公开批准与上线窗口,,
发布,domain-cutover,juhao.com 与 www.juhao.com 正式切换,全站,域名仍为 pending validation,待签核,IT/域名负责人,DNS SSL 重定向回滚与商城兜底验收,,
发布,search-platforms,Google Bing 百度搜索平台,全站,尚未获得公开抓取和平台账号操作授权,待签核,SEO负责人+IT,公开后验证方式账号权限与 sitemap 提交批准,,
