candidate_id,source_id,source_title,source_type,source_locator,source_path,source_hash,source_category,content_domain,content_kind,is_show,data_flag,create_time,current_usage,current_route,embedded_routes,claim_type,confirmed_stage,unverified_claims,cover_candidate,body_media_count,payload_status,image_rights_status,inventory_status,publication_blockers,required_approvers,manual_queue_id,last_verified_at
help-1,1,购物流程,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=1,商城系统/帮助文章/购物流程_1.md,6844a056ec1b8bf771c230b2669ce296fa7dbc55e475bf49d9ba8c0f1dd8cf88,购物指南,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:28:05,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,2,legacy_template_prohibited,needs_review,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-2,2,会员介绍,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=2,商城系统/帮助文章/会员介绍_2.md,a76de7f3904438cc498aa7b3679c3a4ce0e10857aae87c0ac76bba1c480d8286,购物指南,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:30:54,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-3,3,常见问题,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=3,商城系统/帮助文章/常见问题_3.md,63a26134cab2937bee7c6957018e52bed6eaa68362d0c8d783ad27c8fc628d34,购物指南,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:31:26,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-4,4,在线支付,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=4,商城系统/帮助文章/在线支付_4.md,4a08837114695e57bcc556a71e6ef721948f4e953703ec413740e28150cdc195,支付方式,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:34:30,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-5,5,货到付款,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=5,商城系统/帮助文章/货到付款_5.md,5dd507a9e5d9925080f12ebc4b172957a44e732c3e9d8a70768a82deeefff45c,支付方式,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:34:44,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,2,legacy_template_prohibited,needs_review,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-6,6,分期付款,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=6,商城系统/帮助文章/分期付款_6.md,09dab7cdba588cd0c972d7220e635f01c1dbea2e6d57ba48c9704e692688e3de,支付方式,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:35:00,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-7,7,邮局汇款,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=7,商城系统/帮助文章/邮局汇款_7.md,0e80892169eff480ff693403a08d09bb5d52a7fe4ee49ada62231c3ce3159875,支付方式,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:35:34,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-8,8,售后政策,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=8,商城系统/帮助文章/售后政策_8.md,4456c229fb73fb9ea2aed2a4de961a28d0bb1280d58554053c57e01cb7eaa72b,售后服务,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:36:08,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-9,9,退款/换货,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=9,商城系统/帮助文章/退款换货_9.md,0400ee98e62bf6d5a5b96a2e6c534692489856935ea3dbaa92e810b1eedf3b49,售后服务,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:37:04,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-10,10,退款维权流程,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=10,商城系统/帮助文章/退款维权流程_10.md,cb24461f398d3ea1d7a9d4d01f92d067e43c3ae3e9c6ab96345262b3dd33d910,售后服务,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:37:42,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-11,11,配送查询,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=11,商城系统/帮助文章/配送查询_11.md,f4842d230604d622f8b76cd708c9eb0f5140eabb6025099b82a84033322f9cf9,商城咨询,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:38:46,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,2,legacy_template_prohibited,needs_review,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-12,12,211限时达,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=12,商城系统/帮助文章/211限时达_12.md,1c89739fce1c773b5fe8f82e1f03b873ceadb4fe7af726a3a4c11ad2edf7ecb5,商城咨询,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:40:42,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,2,legacy_template_prohibited,needs_review,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-14,14,关于我们,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=14,商城系统/帮助文章/关于我们_14.md,0c171445583320abfe4b653ecd194a27c4178d8e44f7163e93b1b41244e6d532,商务合作,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:43:07,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-15,15,联系我们,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=15,商城系统/帮助文章/联系我们_15.md,4c4281042968bb501f2b99d3fb51274574a8cd30df9a165db542ba3475af0822,商务合作,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:43:21,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-17,17,供货商合作,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=17,商城系统/帮助文章/供货商合作_17.md,2814052f7a43c63b01daf4c22891695ccd657785a5f72897b9489d8b771a8f03,商务合作,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:43:55,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
help-18,18,新闻媒体合作,mall_sql_jh_articles+knowledge_base_markdown,jh_articles.articleId=18,商城系统/帮助文章/新闻媒体合作_18.md,8bca6f6ffdf44bc5dcc9f0aa1e49289f87f4cc010daca9d436bfe6ff92bebe28,商务合作,legacy_template,prohibited_legacy_content,1,1,2016-09-06 15:44:11,inventory_only,,[],legacy_template,来源记录存在；公开表述待签核,"[""全部旧商城模板内容""]",,0,legacy_template_prohibited,not_applicable,prohibited_legacy,"[""legacy_template_content""]",[],,2016-09-06
